title,url,year,tags,decade,urlMinusVaultId,isMusical,isComedy,isDrama,isPlay,tags_simplified,description,qasset,weeks
The Recruiting Officer,/production/the-recruiting-officer-new-theatre-vault-0000008900,1732,Broadway/Original/Play,1730,/production/the-recruiting-officer-new-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef572310004,0
The Mock Doctor,/production/the-mock-doctor-nassau-street-theatre-vault-0000008896,1749,Broadway/Original/Play,1740,/production/the-mock-doctor-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef572310002,0
The Devil to Pay,/production/the-devil-to-pay-nassau-street-theatre-vault-0000008897,1749,Broadway/Drama/Original,1740,/production/the-devil-to-pay-nassau-street-theatre,False,False,True,False,Broadway/Drama/Original,,00000150-aea5-d936-a7fd-eef5a9600004,0
Damon and Phillida,/production/damon-and-phillida-nassau-street-theatre-vault-0000008898,1749,Broadway/Musical/Opera/Original,1740,/production/damon-and-phillida-nassau-street-theatre,True,False,False,False,Other,,00000150-aea5-d936-a7fd-eef572310003,0
Richard III,/production/king-richard-iii-nassau-street-theatre-vault-0000008895,1749,Broadway/Original/Play,1740,/production/king-richard-iii-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,"Richard, Duke of York, plots murders, marriages, and other intrigues in order to secure his own place on the throne. This tale of ruthless ambition is part of Shakespeare's cycle of plays about the Wars of the Roses.",00000150-aea5-d936-a7fd-eef5a9600003,0
Spanish Friar,/production/spanish-friar-nassau-street-theatre-vault-0000008894,1749,Broadway/Original/Play,1740,/production/spanish-friar-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef572310001,0
The Orphan,/production/the-orphan-nassau-street-theatre-vault-0000008893,1749,Broadway/Original/Play,1740,/production/the-orphan-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef572310000,0
The Stage Coach,/production/the-stage-coach-nassau-street-theatre-vault-0000008892,1750,Broadway/Original/Play,1750,/production/the-stage-coach-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef572300004,0
Love for Love,/production/love-for-love-nassau-street-theatre-vault-0000008891,1750,Broadway/Comedy/Original/Play,1750,/production/love-for-love-nassau-street-theatre,False,True,False,True,Broadway/Comedy/Original/Play,"The playboy Valentine prepares, at least nominally, to give up his inheritance in order to continue an irresponsible life and to court the beautiful Angelica, in William Congreve's Restoration comedy and social satire.",00000150-aea5-d936-a7fd-eef572300003,0
The Recruiting Officer,/production/the-recruiting-officer-nassau-street-theatre-vault-0000008890,1750,Broadway/Play,1750,/production/the-recruiting-officer-nassau-street-theatre,False,False,False,True,Other,,00000150-aea5-d936-a7fd-eef5a9600002,0
Cato,/production/cato-nassau-street-theatre-vault-0000008889,1750,Broadway/Original/Play,1750,/production/cato-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef572300002,0
The Beggar's Opera,/production/the-beggars-opera-nassau-street-theatre-vault-0000008888,1750,Broadway/Drama/Musical/Opera/Operetta/Original,1750,/production/the-beggars-opera-nassau-street-theatre,True,False,True,False,Other,"The outlaw Macheath is repeatedly betrayed and sent to prison, only to avoid hanging in a satirically happy ending, in John Gay's 1728 opera, which served as the inspiration for Kurt Weill and Bertolt Brecht's The Threepenny Opera.",00000150-aea5-d936-a7fd-eef5a9600001,0
Sir Harry Wildair,/production/sir-harry-wildair-nassau-street-theatre-vault-0000008878,1750,Broadway/Original/Play,1750,/production/sir-harry-wildair-nassau-street-theatre,False,False,False,True,Broadway/Original/Play,,00000150-aea5-d936-a7fd-eef5a95e0003,0
